Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.6 (0.8),10.8 (4.4),21.0 (3.3),30.2 (4.7),36.2 (5.5),44.8 (5.8)
retrain,RF,UCB,0.4 (0.5),5.6 (2.1),13.4 (2.1),22.0 (2.9),31.6 (3.7),37.2 (3.1)
retrain,RF,TS,1.4 (0.5),4.2 (1.5),8.6 (1.9),11.2 (1.6),16.8 (2.3),22.6 (2.7)
retrain,RF,EI,0.6 (0.8),8.0 (2.3),15.4 (3.6),22.6 (5.4),28.8 (7.5),33.8 (9.1)
retrain,RF,PI,1.0 (1.1),8.8 (3.7),18.6 (3.5),29.6 (3.1),35.4 (4.0),41.4 (3.3)
retrain,NN,Greedy,1.0 (1.3),18.6 (3.9),30.6 (5.6),40.8 (5.8),48.6 (6.5),59.2 (6.1)
retrain,NN,UCB,1.6 (0.8),11.0 (2.6),25.0 (1.4),36.6 (2.6),44.4 (3.4),51.2 (3.4)
retrain,NN,TS,1.2 (0.7),11.4 (2.1),22.4 (1.7),34.6 (1.6),46.2 (2.9),54.6 (3.4)
retrain,NN,EI,0.6 (0.5),13.2 (4.4),27.6 (4.3),39.6 (3.9),45.0 (6.3),49.8 (6.9)
retrain,NN,PI,1.2 (1.2),13.0 (1.8),27.0 (2.5),38.2 (2.1),43.2 (3.9),51.6 (2.3)
retrain,MPN,Greedy,1.2 (0.4),13.0 (2.2),24.0 (3.3),38.2 (4.0),51.0 (2.3),59.6 (2.3)
retrain,MPN,UCB,0.0 (0.0),9.8 (4.0),21.4 (2.6),36.6 (4.5),45.8 (4.2),57.0 (3.2)
retrain,MPN,TS,1.8 (0.7),12.0 (2.3),20.2 (1.2),30.8 (3.3),41.6 (5.4),52.2 (4.6)
retrain,MPN,EI,1.4 (0.5),12.2 (3.5),24.6 (5.5),37.2 (4.0),47.0 (5.0),57.0 (3.6)
retrain,MPN,PI,1.0 (0.9),12.8 (2.5),21.6 (3.6),35.6 (2.2),48.4 (3.0),55.2 (3.3)
online,RF,Greedy,2.2 (1.2),13.8 (2.5),22.8 (4.8),30.4 (6.8),37.0 (5.2),40.8 (3.7)
online,RF,UCB,0.6 (0.8),6.6 (3.2),11.2 (4.3),16.8 (5.7),22.0 (5.7),26.8 (5.3)
online,RF,TS,1.2 (0.7),3.6 (2.6),6.4 (3.6),9.0 (3.2),12.6 (2.2),15.2 (3.2)
online,RF,EI,1.2 (0.7),6.2 (2.5),13.2 (4.7),18.2 (5.6),22.8 (7.5),27.0 (5.8)
online,RF,PI,0.8 (0.7),8.8 (2.2),16.8 (4.4),21.8 (4.2),25.2 (4.8),31.4 (5.4)
online,NN,Greedy,0.8 (1.0),14.6 (3.3),26.0 (6.6),36.0 (8.0),41.2 (8.5),49.8 (6.4)
online,NN,UCB,0.4 (0.8),13.2 (3.5),20.6 (6.5),26.2 (9.8),33.0 (10.5),38.4 (10.1)
online,NN,TS,1.4 (0.5),12.2 (2.2),20.6 (4.0),30.4 (3.1),38.4 (2.8),45.8 (3.5)
online,NN,EI,1.6 (1.0),11.6 (2.4),14.0 (6.2),18.0 (5.5),21.4 (5.5),24.6 (6.2)
online,NN,PI,1.4 (0.8),14.0 (4.0),20.6 (2.6),25.0 (3.6),27.6 (3.0),33.0 (5.4)
online,MPN,Greedy,1.2 (1.2),12.8 (2.1),17.0 (1.4),23.6 (2.3),30.0 (4.0),37.2 (6.0)
online,MPN,UCB,0.8 (0.7),10.8 (2.0),15.4 (2.1),22.6 (3.1),30.4 (5.1),38.8 (6.3)
online,MPN,TS,0.8 (0.7),10.2 (4.4),12.6 (6.3),23.2 (7.2),25.8 (7.9),37.0 (5.2)
online,MPN,EI,1.8 (0.7),13.4 (1.0),17.2 (1.0),24.8 (3.1),31.0 (2.4),38.8 (3.4)
online,MPN,PI,1.0 (0.6),10.8 (0.7),14.2 (2.0),19.4 (2.2),24.6 (3.2),33.2 (2.9)
