Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.4 (0.1),38.4 (4.4),58.1 (2.2),72.0 (1.6),79.4 (1.6),84.3 (1.1)
retrain,RF,UCB,0.3 (0.2),33.2 (4.2),52.2 (3.5),60.1 (4.2),64.1 (3.7),68.2 (2.7)
retrain,RF,TS,0.4 (0.1),18.9 (3.5),43.3 (1.9),59.7 (0.8),68.3 (1.0),74.1 (1.0)
retrain,RF,EI,0.7 (0.2),30.0 (5.6),36.2 (5.6),39.7 (4.8),42.4 (3.9),44.8 (4.0)
retrain,RF,PI,0.3 (0.1),28.9 (5.3),34.6 (3.7),38.9 (2.2),41.4 (2.4),43.5 (2.6)
retrain,NN,Greedy,0.3 (0.2),42.2 (3.4),74.2 (1.9),88.2 (0.4),93.5 (0.1),95.7 (0.0)
retrain,NN,UCB,0.4 (0.1),48.1 (2.4),75.2 (1.1),88.5 (0.9),91.8 (1.0),94.4 (0.5)
retrain,NN,TS,0.5 (0.2),36.8 (2.8),68.8 (2.9),86.6 (2.2),92.5 (0.5),94.5 (0.2)
retrain,NN,EI,0.5 (0.1),42.2 (1.4),59.0 (0.7),62.7 (1.0),70.8 (1.1),76.7 (2.3)
retrain,NN,PI,0.4 (0.2),41.6 (2.6),52.3 (4.5),60.1 (4.6),67.1 (3.2),71.9 (1.9)
retrain,MPN,Greedy,0.5 (0.1),70.8 (2.4),90.5 (0.7),95.0 (0.2),96.7 (0.3),97.7 (0.2)
retrain,MPN,UCB,0.5 (0.2),72.2 (1.2),92.1 (1.0),95.7 (0.4),97.2 (0.5),98.1 (0.4)
retrain,MPN,TS,0.3 (0.1),43.0 (5.6),80.7 (1.4),91.7 (0.5),95.2 (0.5),96.7 (0.3)
retrain,MPN,EI,0.5 (0.2),70.3 (2.7),87.0 (1.8),92.9 (1.4),94.8 (0.8),95.8 (0.6)
retrain,MPN,PI,0.4 (0.2),68.9 (4.3),88.7 (1.1),93.3 (0.6),94.9 (0.5),96.2 (0.6)
online,RF,Greedy,0.4 (0.2),40.6 (1.8),61.0 (2.8),70.4 (3.8),76.2 (3.1),80.6 (2.3)
online,RF,UCB,0.4 (0.2),31.4 (3.9),37.2 (6.6),46.5 (6.3),53.5 (2.2),56.4 (2.6)
online,RF,TS,0.4 (0.1),19.4 (1.4),35.1 (1.2),47.7 (2.5),55.4 (2.5),60.0 (2.0)
online,RF,EI,0.5 (0.1),21.5 (3.6),26.3 (6.1),35.6 (6.7),40.6 (4.6),45.0 (1.8)
online,RF,PI,0.3 (0.1),26.9 (5.4),30.6 (6.2),35.3 (6.3),40.5 (5.7),43.2 (5.6)
online,NN,Greedy,0.4 (0.1),45.8 (4.2),72.2 (4.7),87.5 (2.0),90.9 (1.2),93.0 (0.8)
online,NN,UCB,0.4 (0.2),46.5 (2.7),65.3 (9.6),78.4 (6.4),84.4 (3.9),90.1 (1.1)
online,NN,TS,0.4 (0.2),32.6 (1.6),58.0 (11.9),66.6 (10.6),74.6 (11.4),77.5 (11.3)
online,NN,EI,0.5 (0.2),43.4 (0.8),44.9 (1.5),58.8 (4.2),63.5 (6.6),64.9 (5.6)
online,NN,PI,0.3 (0.2),44.9 (1.5),45.5 (1.8),53.9 (4.9),58.4 (12.3),60.3 (14.5)
online,MPN,Greedy,0.5 (0.2),70.5 (1.8),86.5 (1.0),92.2 (0.6),94.1 (0.6),95.2 (0.4)
online,MPN,UCB,0.5 (0.2),72.4 (2.2),89.7 (1.1),94.0 (0.8),95.5 (0.5),96.7 (0.4)
online,MPN,TS,0.5 (0.2),42.8 (3.5),79.5 (2.6),91.3 (0.8),94.0 (0.1),95.8 (0.3)
online,MPN,EI,0.5 (0.3),68.6 (1.3),81.0 (1.5),86.7 (1.0),88.9 (1.5),90.2 (1.7)
online,MPN,PI,0.5 (0.2),70.4 (3.2),83.4 (1.9),87.6 (2.0),89.5 (1.4),90.5 (1.1)
