Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,48.8 (0.0),88.9 (0.2),91.9 (0.3),93.3 (0.3),94.1 (0.4),94.8 (0.3)
retrain,RF,UCB,48.8 (0.0),86.6 (0.8),88.7 (0.5),89.7 (0.1),91.0 (0.6),92.0 (0.4)
retrain,RF,TS,48.8 (0.0),84.8 (0.5),89.6 (0.7),92.0 (0.8),93.3 (0.5),94.1 (0.4)
retrain,RF,EI,48.7 (0.0),84.6 (0.6),87.1 (0.3),88.3 (0.7),89.3 (0.9),90.0 (1.0)
retrain,RF,PI,48.8 (0.0),85.7 (0.4),88.2 (0.4),89.0 (0.4),89.6 (0.5),90.4 (0.5)
retrain,NN,Greedy,48.7 (0.0),88.8 (0.1),92.9 (0.1),94.4 (0.1),95.4 (0.1),96.0 (0.0)
retrain,NN,UCB,48.8 (0.1),88.0 (0.2),92.3 (0.0),94.1 (0.1),95.1 (0.1),95.8 (0.1)
retrain,NN,TS,48.8 (0.1),87.7 (0.4),92.1 (0.2),93.9 (0.1),95.0 (0.1),95.7 (0.1)
retrain,NN,EI,48.7 (0.0),88.0 (0.3),90.5 (0.6),91.4 (0.6),91.9 (0.1),92.4 (0.3)
retrain,NN,PI,48.8 (0.0),88.1 (0.4),90.7 (0.3),91.1 (0.2),91.7 (0.5),92.7 (0.4)
retrain,MPN,Greedy,48.7 (0.0),89.0 (0.3),94.4 (0.0),96.2 (0.1),97.1 (0.1),97.7 (0.0)
retrain,MPN,UCB,48.8 (0.0),87.1 (0.9),92.2 (0.4),94.8 (0.1),96.4 (0.1),97.4 (0.1)
retrain,MPN,TS,48.7 (0.0),87.7 (0.2),93.0 (0.1),95.4 (0.1),96.7 (0.1),97.5 (0.0)
retrain,MPN,EI,48.8 (0.0),87.4 (1.0),90.8 (0.5),93.0 (0.4),94.5 (0.3),95.4 (0.3)
retrain,MPN,PI,48.8 (0.0),87.3 (0.3),90.9 (0.2),93.1 (0.3),94.5 (0.3),95.5 (0.2)
online,RF,Greedy,48.7 (0.0),88.7 (0.1),89.7 (0.1),91.9 (0.1),92.0 (0.1),93.0 (0.1)
online,RF,UCB,48.7 (0.1),85.8 (0.5),86.1 (0.6),89.0 (0.4),89.5 (0.3),90.5 (1.0)
online,RF,TS,48.8 (0.0),84.5 (0.4),84.8 (0.3),89.5 (0.2),89.5 (0.2),91.2 (0.1)
online,RF,EI,48.8 (0.0),85.1 (0.5),85.7 (0.5),88.7 (0.7),88.8 (0.6),89.7 (1.2)
online,RF,PI,48.7 (0.1),85.0 (1.0),85.3 (1.1),88.4 (0.5),88.6 (0.7),89.2 (0.6)
online,NN,Greedy,48.7 (0.0),88.5 (0.2),90.2 (0.7),92.0 (0.1),92.9 (0.2),93.3 (0.7)
online,NN,UCB,48.7 (0.0),88.2 (0.1),88.4 (0.1),89.3 (0.9),89.6 (1.2),90.2 (1.8)
online,NN,TS,48.8 (0.0),88.1 (0.3),88.8 (0.2),91.4 (0.3),92.2 (0.3),93.2 (0.2)
online,NN,EI,48.8 (0.0),87.8 (0.3),87.8 (0.3),88.9 (1.3),89.0 (1.4),89.0 (1.4)
online,NN,PI,48.8 (0.0),87.8 (0.3),88.4 (1.0),89.1 (1.9),89.1 (1.9),89.2 (1.9)
online,MPN,Greedy,48.8 (0.0),89.6 (0.6),91.0 (0.7),94.5 (0.3),95.2 (0.1),96.3 (0.3)
online,MPN,UCB,48.7 (0.0),87.9 (0.1),90.3 (0.7),94.0 (0.3),94.5 (0.3),95.0 (0.8)
online,MPN,TS,48.8 (0.0),87.2 (0.2),92.1 (0.6),95.1 (0.2),96.3 (0.3),97.2 (0.3)
online,MPN,EI,48.7 (0.0),87.5 (0.6),88.5 (0.3),91.6 (0.2),92.1 (0.4),94.1 (0.3)
online,MPN,PI,48.7 (0.0),87.5 (0.1),89.3 (0.1),92.2 (0.1),93.1 (0.2),94.5 (0.1)
