Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,83.9 (0.1),97.5 (0.3),98.7 (0.1),99.2 (0.1),99.4 (0.0),99.5 (0.0)
retrain,RF,UCB,83.9 (0.2),97.0 (0.4),98.3 (0.2),98.7 (0.2),98.9 (0.1),99.0 (0.1)
retrain,RF,TS,83.8 (0.1),95.1 (0.4),97.8 (0.1),98.7 (0.0),99.1 (0.0),99.3 (0.0)
retrain,RF,EI,84.0 (0.1),96.6 (0.6),97.3 (0.5),97.5 (0.4),97.8 (0.3),97.9 (0.3)
retrain,RF,PI,83.8 (0.1),96.4 (0.7),97.0 (0.4),97.4 (0.2),97.6 (0.2),97.8 (0.2)
retrain,NN,Greedy,83.9 (0.1),97.7 (0.2),99.2 (0.1),99.6 (0.0),99.8 (0.0),99.9 (0.0)
retrain,NN,UCB,83.8 (0.1),98.0 (0.1),99.3 (0.0),99.6 (0.0),99.7 (0.0),99.8 (0.0)
retrain,NN,TS,83.9 (0.0),97.3 (0.2),99.1 (0.1),99.6 (0.0),99.8 (0.0),99.8 (0.0)
retrain,NN,EI,83.7 (0.1),97.7 (0.1),98.6 (0.0),98.8 (0.1),99.1 (0.0),99.3 (0.0)
retrain,NN,PI,83.8 (0.1),97.7 (0.2),98.3 (0.2),98.7 (0.2),99.0 (0.1),99.2 (0.1)
retrain,MPN,Greedy,83.9 (0.2),99.1 (0.1),99.7 (0.0),99.9 (0.0),99.9 (0.0),99.9 (0.0)
retrain,MPN,UCB,83.8 (0.1),99.2 (0.1),99.8 (0.0),99.9 (0.0),99.9 (0.0),99.9 (0.0)
retrain,MPN,TS,83.8 (0.1),97.8 (0.4),99.4 (0.0),99.7 (0.0),99.9 (0.0),99.9 (0.0)
retrain,MPN,EI,83.9 (0.1),99.1 (0.1),99.6 (0.1),99.8 (0.0),99.9 (0.0),99.9 (0.0)
retrain,MPN,PI,83.8 (0.2),99.1 (0.2),99.7 (0.0),99.8 (0.0),99.9 (0.0),99.9 (0.0)
online,RF,Greedy,83.8 (0.2),97.7 (0.1),98.8 (0.1),99.1 (0.1),99.3 (0.1),99.5 (0.1)
online,RF,UCB,83.8 (0.2),96.8 (0.4),97.3 (0.5),98.0 (0.3),98.4 (0.1),98.6 (0.1)
online,RF,TS,83.8 (0.2),95.3 (0.2),97.1 (0.1),98.1 (0.1),98.5 (0.1),98.7 (0.1)
online,RF,EI,83.8 (0.1),95.6 (0.5),96.1 (0.7),97.2 (0.6),97.6 (0.3),97.9 (0.1)
online,RF,PI,83.9 (0.1),96.3 (0.6),96.7 (0.6),97.2 (0.6),97.6 (0.5),97.8 (0.4)
online,NN,Greedy,83.7 (0.1),97.8 (0.3),99.1 (0.2),99.6 (0.1),99.7 (0.0),99.8 (0.0)
online,NN,UCB,83.8 (0.1),98.0 (0.2),98.9 (0.4),99.4 (0.2),99.5 (0.1),99.7 (0.0)
online,NN,TS,83.8 (0.1),97.0 (0.1),98.5 (0.6),98.9 (0.4),99.2 (0.4),99.3 (0.4)
online,NN,EI,83.8 (0.3),97.8 (0.1),97.9 (0.1),98.6 (0.2),98.8 (0.3),98.9 (0.2)
online,NN,PI,83.8 (0.1),97.9 (0.1),97.9 (0.1),98.3 (0.2),98.5 (0.5),98.6 (0.6)
online,MPN,Greedy,83.9 (0.1),99.1 (0.1),99.6 (0.0),99.8 (0.0),99.8 (0.0),99.9 (0.0)
online,MPN,UCB,83.8 (0.1),99.2 (0.1),99.7 (0.0),99.8 (0.0),99.9 (0.0),99.9 (0.0)
online,MPN,TS,83.9 (0.1),97.8 (0.2),99.4 (0.1),99.7 (0.0),99.8 (0.0),99.9 (0.0)
online,MPN,EI,83.7 (0.1),99.1 (0.0),99.5 (0.0),99.6 (0.0),99.7 (0.0),99.7 (0.0)
online,MPN,PI,83.8 (0.2),99.1 (0.2),99.5 (0.1),99.6 (0.1),99.7 (0.0),99.7 (0.0)
