Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,60.5 (0.0),94.5 (0.1),96.5 (0.2),97.6 (0.2),98.3 (0.2),98.8 (0.1)
retrain,RF,UCB,60.5 (0.0),93.3 (0.4),94.0 (0.4),95.8 (0.5),96.9 (0.7),97.5 (0.6)
retrain,RF,TS,60.5 (0.0),93.8 (0.1),96.0 (0.1),97.5 (0.1),98.2 (0.2),98.8 (0.1)
retrain,RF,EI,60.5 (0.1),91.3 (0.2),92.1 (0.2),93.0 (0.1),94.2 (0.2),95.5 (0.6)
retrain,RF,PI,60.5 (0.1),91.4 (0.1),92.0 (0.3),93.0 (0.6),93.6 (0.7),95.0 (0.7)
retrain,NN,Greedy,60.5 (0.0),94.8 (0.1),97.1 (0.0),98.1 (0.0),98.6 (0.1),98.9 (0.1)
retrain,NN,UCB,60.4 (0.0),94.2 (0.4),96.7 (0.1),97.9 (0.0),98.6 (0.0),98.6 (0.1)
retrain,NN,TS,60.5 (0.1),94.1 (0.1),96.8 (0.0),97.9 (0.0),98.5 (0.1),98.9 (0.1)
retrain,NN,EI,60.5 (0.1),94.1 (0.2),95.0 (0.4),95.9 (0.1),96.5 (0.3),96.9 (0.2)
retrain,NN,PI,60.5 (0.0),94.2 (0.1),95.2 (0.0),96.4 (0.2),96.7 (0.2),97.1 (0.2)
retrain,MPN,Greedy,60.5 (0.0),95.5 (0.1),98.2 (0.1),99.0 (0.1),99.3 (0.1),99.6 (0.1)
retrain,MPN,UCB,60.6 (0.0),95.1 (0.0),98.5 (0.1),99.5 (0.0),99.7 (0.0),99.8 (0.0)
retrain,MPN,TS,60.5 (0.1),94.9 (0.1),97.8 (0.0),98.8 (0.0),99.3 (0.0),99.6 (0.0)
retrain,MPN,EI,60.5 (0.1),94.0 (0.3),96.7 (0.2),98.2 (0.1),98.7 (0.4),99.2 (0.2)
retrain,MPN,PI,60.4 (0.1),94.3 (0.2),97.1 (0.1),98.3 (0.1),99.0 (0.1),99.3 (0.0)
online,RF,Greedy,60.5 (0.0),94.5 (0.3),94.7 (0.3),96.7 (0.1),96.8 (0.2),97.7 (0.3)
online,RF,UCB,60.5 (0.0),92.9 (0.3),93.0 (0.3),95.8 (0.3),95.9 (0.2),96.3 (0.3)
online,RF,TS,60.5 (0.1),93.7 (0.1),94.1 (0.1),96.4 (0.1),96.5 (0.1),97.6 (0.1)
online,RF,EI,60.5 (0.0),91.4 (0.4),91.6 (0.4),94.1 (1.5),94.7 (1.2),95.0 (1.1)
online,RF,PI,60.5 (0.1),91.6 (0.4),91.7 (0.4),93.2 (1.0),94.1 (0.2),94.8 (0.5)
online,NN,Greedy,60.5 (0.1),94.6 (0.1),95.1 (0.1),96.7 (0.2),96.9 (0.2),97.6 (0.4)
online,NN,UCB,60.5 (0.0),94.4 (0.0),94.5 (0.1),95.2 (1.0),95.2 (1.0),95.4 (1.2)
online,NN,TS,60.5 (0.1),94.2 (0.2),94.8 (0.7),95.5 (1.1),95.6 (1.2),95.6 (1.1)
online,NN,EI,60.5 (0.0),94.3 (0.0),94.5 (0.3),95.7 (1.0),95.8 (1.1),96.1 (1.4)
online,NN,PI,60.6 (0.1),94.2 (0.3),94.2 (0.3),94.2 (0.3),94.3 (0.3),94.3 (0.3)
online,MPN,Greedy,60.5 (0.1),95.8 (0.2),97.3 (0.1),98.6 (0.1),98.7 (0.1),99.0 (0.3)
online,MPN,UCB,60.4 (0.1),94.9 (0.1),97.0 (0.3),98.7 (0.1),99.0 (0.1),99.3 (0.2)
online,MPN,TS,60.5 (0.0),95.0 (0.1),97.5 (0.2),98.7 (0.1),98.9 (0.2),99.0 (0.3)
online,MPN,EI,60.5 (0.1),94.5 (0.6),95.5 (0.5),97.4 (0.3),97.5 (0.2),98.4 (0.1)
online,MPN,PI,60.5 (0.0),94.4 (0.1),95.3 (0.0),97.6 (0.0),97.8 (0.2),98.3 (0.5)
