Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.6 (0.8),13.6 (4.5),24.4 (3.1),34.2 (4.1),41.4 (6.0),51.6 (5.9)
retrain,RF,UCB,0.4 (0.5),6.4 (2.2),15.4 (2.0),25.6 (2.7),36.4 (3.4),43.2 (3.4)
retrain,RF,TS,1.6 (0.5),4.8 (1.6),9.6 (2.2),13.0 (1.8),20.0 (2.1),27.6 (1.9)
retrain,RF,EI,0.6 (0.8),9.4 (2.9),18.2 (4.4),26.0 (5.4),33.6 (8.2),39.4 (9.5)
retrain,RF,PI,1.0 (1.1),10.8 (4.6),21.4 (3.8),34.0 (2.1),40.2 (2.9),47.6 (4.2)
retrain,NN,Greedy,1.4 (1.7),20.6 (4.2),34.4 (5.7),46.8 (5.6),55.2 (5.9),66.8 (5.4)
retrain,NN,UCB,1.6 (0.8),12.2 (2.6),27.4 (1.0),41.2 (3.1),50.6 (3.7),58.0 (3.5)
retrain,NN,TS,1.2 (0.7),12.8 (1.6),25.4 (1.4),39.0 (1.1),52.8 (3.9),61.4 (3.9)
retrain,NN,EI,0.8 (0.7),14.4 (3.7),30.8 (4.6),44.2 (4.4),50.4 (6.6),56.0 (7.5)
retrain,NN,PI,1.2 (1.2),13.8 (1.7),28.6 (3.3),41.6 (2.9),47.8 (5.0),57.8 (2.4)
retrain,MPN,Greedy,1.6 (0.5),15.2 (2.6),28.4 (4.6),44.4 (5.2),58.4 (3.6),67.0 (3.0)
retrain,MPN,UCB,0.2 (0.4),12.4 (3.8),26.0 (2.3),42.6 (5.0),53.2 (4.8),64.4 (4.1)
retrain,MPN,TS,2.0 (0.6),13.2 (2.5),23.2 (2.3),35.4 (4.5),47.8 (5.6),60.0 (4.1)
retrain,MPN,EI,1.8 (0.7),13.4 (4.2),28.0 (6.3),42.4 (5.4),54.0 (5.9),64.4 (3.8)
retrain,MPN,PI,1.2 (0.7),14.6 (2.5),25.8 (2.6),41.6 (1.6),56.4 (3.9),63.0 (3.2)
online,RF,Greedy,2.2 (1.2),15.6 (2.4),25.4 (5.0),34.0 (5.9),41.4 (4.4),46.2 (2.1)
online,RF,UCB,0.6 (0.8),7.4 (3.6),13.4 (4.7),19.6 (5.1),25.2 (5.8),30.2 (5.8)
online,RF,TS,1.4 (0.8),4.4 (2.7),7.4 (3.9),10.8 (3.7),14.4 (3.0),17.4 (3.2)
online,RF,EI,1.2 (0.7),7.4 (2.2),16.0 (5.5),22.0 (6.5),27.6 (9.2),32.2 (7.2)
online,RF,PI,1.2 (0.7),10.6 (2.9),19.6 (5.0),25.2 (4.7),29.4 (4.7),36.8 (6.3)
online,NN,Greedy,0.8 (1.0),15.6 (3.9),28.6 (6.3),40.2 (7.7),46.4 (7.8),55.4 (6.2)
online,NN,UCB,0.6 (0.8),14.2 (3.2),22.6 (6.4),29.0 (10.4),37.0 (11.6),43.4 (11.6)
online,NN,TS,1.8 (0.4),13.4 (1.5),22.6 (3.3),34.2 (2.0),42.8 (1.6),51.2 (3.9)
online,NN,EI,1.6 (1.0),12.8 (3.2),15.2 (6.4),20.0 (5.7),24.0 (5.3),28.0 (6.7)
online,NN,PI,1.6 (0.5),15.4 (4.2),23.2 (3.1),29.0 (4.4),32.0 (4.2),37.6 (6.7)
online,MPN,Greedy,1.6 (1.6),14.8 (2.6),20.4 (1.0),28.6 (2.2),36.4 (5.3),44.6 (6.9)
online,MPN,UCB,1.0 (0.6),12.2 (2.4),18.4 (1.6),27.4 (3.3),36.4 (5.9),45.8 (7.1)
online,MPN,TS,0.8 (0.7),10.8 (3.9),13.4 (5.8),25.8 (7.2),28.8 (7.9),41.4 (4.7)
online,MPN,EI,1.8 (0.7),15.8 (0.7),20.4 (1.4),29.0 (3.3),36.4 (2.4),45.4 (5.0)
online,MPN,PI,1.2 (0.7),13.0 (1.4),18.2 (2.4),24.0 (2.3),30.2 (3.6),39.4 (3.3)
