Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.2 (0.0),12.1 (1.5),22.9 (2.1),30.5 (2.5),38.5 (1.4),45.5 (1.8)
retrain,RF,UCB,0.2 (0.0),8.1 (0.9),10.6 (1.2),12.6 (0.9),17.8 (0.7),24.4 (1.9)
retrain,RF,TS,0.2 (0.0),8.5 (0.3),15.7 (1.0),24.0 (0.8),31.3 (1.4),40.8 (1.9)
retrain,RF,EI,0.2 (0.0),7.0 (0.4),8.7 (0.7),9.4 (0.4),12.2 (1.5),14.6 (2.7)
retrain,RF,PI,0.2 (0.0),9.5 (0.7),11.0 (1.5),12.1 (1.5),13.8 (2.2),16.0 (1.6)
retrain,NN,Greedy,0.2 (0.0),13.5 (0.9),26.5 (0.7),37.0 (0.2),46.3 (0.5),52.8 (0.5)
retrain,NN,UCB,0.2 (0.0),12.6 (0.8),24.9 (0.8),35.1 (1.5),42.2 (1.0),49.8 (0.5)
retrain,NN,TS,0.2 (0.0),11.5 (0.3),23.3 (0.2),34.4 (0.2),42.3 (0.5),50.1 (1.0)
retrain,NN,EI,0.2 (0.0),11.9 (0.6),16.0 (2.3),19.0 (2.5),20.0 (1.9),24.2 (1.0)
retrain,NN,PI,0.2 (0.0),12.3 (0.7),17.7 (0.7),19.2 (1.3),20.6 (1.0),22.3 (1.1)
retrain,MPN,Greedy,0.2 (0.0),14.8 (1.1),39.3 (1.9),54.8 (1.9),64.3 (1.7),67.0 (2.1)
retrain,MPN,UCB,0.2 (0.0),12.3 (0.6),30.5 (0.2),49.8 (0.5),65.6 (1.1),75.5 (0.7)
retrain,MPN,TS,0.2 (0.0),13.2 (0.9),33.2 (0.9),49.8 (1.2),57.1 (4.7),67.4 (3.3)
retrain,MPN,EI,0.2 (0.0),12.6 (0.4),23.4 (0.9),33.1 (0.9),42.4 (0.5),50.8 (0.3)
retrain,MPN,PI,0.2 (0.0),12.8 (1.1),25.1 (1.2),35.5 (1.2),45.6 (1.0),52.3 (0.6)
online,RF,Greedy,0.2 (0.0),12.9 (0.4),14.7 (0.9),21.8 (1.7),22.7 (2.0),30.3 (2.0)
online,RF,UCB,0.2 (0.0),7.6 (0.1),8.0 (0.4),13.8 (0.8),13.9 (0.8),16.8 (1.8)
online,RF,TS,0.2 (0.0),8.6 (0.3),9.4 (0.4),18.1 (0.2),18.3 (0.3),24.2 (3.3)
online,RF,EI,0.2 (0.0),8.6 (0.2),8.8 (0.2),13.6 (1.8),14.6 (2.0),17.3 (2.3)
online,RF,PI,0.2 (0.0),8.0 (0.4),8.3 (0.7),12.2 (2.1),14.0 (0.2),16.7 (2.3)
online,NN,Greedy,0.2 (0.0),13.0 (0.2),15.3 (1.1),20.4 (4.7),21.2 (4.9),24.8 (6.0)
online,NN,UCB,0.2 (0.0),11.4 (0.4),12.1 (0.1),15.2 (2.6),15.8 (2.7),17.6 (4.2)
online,NN,TS,0.2 (0.0),10.8 (1.1),11.7 (1.1),14.8 (5.3),15.9 (6.8),18.0 (9.8)
online,NN,EI,0.2 (0.0),11.5 (0.4),11.6 (0.4),11.6 (0.4),11.7 (0.4),11.7 (0.4)
online,NN,PI,0.2 (0.0),12.0 (0.1),12.0 (0.1),14.1 (3.0),14.2 (3.0),14.2 (3.0)
online,MPN,Greedy,0.2 (0.0),16.2 (1.4),29.5 (3.5),46.9 (4.1),48.1 (3.0),48.3 (2.9)
online,MPN,UCB,0.2 (0.0),13.6 (1.1),18.8 (2.5),33.9 (2.3),38.3 (3.8),41.7 (6.7)
online,MPN,TS,0.2 (0.0),13.1 (1.2),32.2 (1.1),49.1 (0.9),58.1 (0.9),63.1 (3.1)
online,MPN,EI,0.2 (0.0),14.1 (1.0),17.5 (0.8),29.5 (1.1),34.0 (1.8),42.7 (2.4)
online,MPN,PI,0.2 (0.0),13.6 (0.1),17.8 (1.0),29.7 (0.3),34.2 (0.4),41.9 (0.7)
