Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.3 (0.1),36.7 (4.3),55.4 (1.9),68.5 (1.5),75.3 (1.6),79.8 (0.9)
retrain,RF,UCB,0.3 (0.2),32.1 (4.0),50.4 (3.3),57.7 (4.0),61.4 (3.5),65.2 (2.6)
retrain,RF,TS,0.4 (0.2),18.2 (3.6),41.3 (1.9),56.8 (0.9),64.9 (1.1),70.3 (1.2)
retrain,RF,EI,0.6 (0.2),29.0 (5.4),34.9 (5.5),38.3 (4.6),40.9 (3.8),43.2 (3.9)
retrain,RF,PI,0.3 (0.1),28.0 (5.2),33.7 (3.7),37.7 (2.1),40.2 (2.4),42.2 (2.7)
retrain,NN,Greedy,0.3 (0.2),40.2 (3.0),70.2 (1.9),83.4 (0.6),90.3 (0.1),93.2 (0.1)
retrain,NN,UCB,0.4 (0.1),45.7 (2.3),71.3 (1.0),83.6 (0.9),87.9 (1.5),91.5 (0.8)
retrain,NN,TS,0.5 (0.2),35.1 (2.9),65.3 (2.9),81.9 (2.0),88.5 (0.6),91.6 (0.3)
retrain,NN,EI,0.4 (0.1),40.0 (1.4),56.1 (0.7),59.6 (1.0),67.3 (1.0),72.9 (2.2)
retrain,NN,PI,0.3 (0.1),39.5 (2.6),49.9 (4.3),57.4 (4.5),64.0 (3.2),68.5 (1.8)
retrain,MPN,Greedy,0.4 (0.1),67.3 (2.3),86.1 (0.7),92.3 (0.3),94.4 (0.1),94.8 (0.1)
retrain,MPN,UCB,0.4 (0.2),68.6 (1.2),88.1 (1.1),93.2 (0.2),94.6 (0.2),94.9 (0.2)
retrain,MPN,TS,0.3 (0.1),40.8 (5.2),76.3 (1.5),88.0 (0.8),92.8 (0.7),94.5 (0.1)
retrain,MPN,EI,0.4 (0.2),67.0 (2.5),82.9 (1.6),89.5 (2.1),92.3 (1.1),93.7 (0.7)
retrain,MPN,PI,0.4 (0.2),65.4 (4.1),84.2 (0.9),89.7 (1.0),92.2 (0.9),93.9 (0.7)
online,RF,Greedy,0.4 (0.2),38.7 (1.6),58.3 (2.7),67.1 (3.8),72.5 (2.8),76.5 (2.1)
online,RF,UCB,0.4 (0.2),30.3 (3.9),35.8 (6.3),44.6 (6.0),51.3 (1.9),54.0 (2.4)
online,RF,TS,0.3 (0.2),18.5 (1.5),33.6 (1.2),45.5 (2.3),52.9 (2.3),57.1 (1.8)
online,RF,EI,0.4 (0.1),20.8 (3.5),25.4 (6.0),34.3 (6.7),39.3 (4.7),43.5 (1.9)
online,RF,PI,0.2 (0.1),26.0 (5.2),29.7 (6.0),34.1 (6.0),39.2 (5.4),41.8 (5.3)
online,NN,Greedy,0.4 (0.1),43.3 (4.0),68.3 (4.7),82.9 (2.3),86.9 (1.5),89.8 (1.0)
online,NN,UCB,0.4 (0.2),44.2 (2.5),62.3 (9.3),74.3 (6.1),80.2 (3.7),86.1 (1.6)
online,NN,TS,0.4 (0.3),31.0 (1.4),55.0 (11.2),63.3 (9.8),70.7 (10.5),73.4 (10.5)
online,NN,EI,0.5 (0.2),41.3 (0.6),42.8 (1.4),55.6 (3.7),60.2 (6.4),61.5 (5.5)
online,NN,PI,0.3 (0.2),42.6 (1.1),43.2 (1.6),50.8 (4.7),55.2 (11.6),57.0 (13.8)
online,MPN,Greedy,0.4 (0.1),67.0 (1.7),82.0 (1.1),88.6 (1.1),91.5 (0.9),93.2 (0.5)
online,MPN,UCB,0.5 (0.2),68.8 (2.2),85.2 (1.2),90.8 (1.2),93.0 (0.7),94.5 (0.4)
online,MPN,TS,0.5 (0.2),40.7 (3.1),75.6 (2.6),87.4 (1.1),91.5 (0.5),93.7 (0.5)
online,MPN,EI,0.4 (0.2),65.1 (1.3),77.1 (1.2),82.4 (0.9),84.4 (1.4),85.7 (1.7)
online,MPN,PI,0.4 (0.2),66.8 (3.1),79.3 (1.6),83.4 (2.0),85.3 (1.5),86.6 (1.3)
