Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,80.8 (0.1),95.4 (0.7),97.6 (0.3),98.5 (0.2),99.0 (0.1),99.2 (0.1)
retrain,RF,UCB,80.8 (0.1),94.7 (0.5),97.1 (0.1),97.8 (0.1),98.0 (0.1),98.3 (0.2)
retrain,RF,TS,80.9 (0.2),92.6 (0.4),96.1 (0.3),97.7 (0.1),98.2 (0.1),98.6 (0.0)
retrain,RF,EI,80.7 (0.1),94.1 (0.7),95.7 (0.6),96.4 (0.3),96.6 (0.4),96.9 (0.3)
retrain,RF,PI,80.8 (0.1),94.2 (0.5),95.5 (0.8),96.2 (0.6),96.3 (0.6),96.5 (0.5)
retrain,NN,Greedy,80.7 (0.1),96.7 (0.3),98.6 (0.1),99.1 (0.1),99.4 (0.0),99.6 (0.0)
retrain,NN,UCB,81.0 (0.1),96.7 (0.2),98.6 (0.1),99.2 (0.1),99.5 (0.1),99.6 (0.0)
retrain,NN,TS,80.8 (0.2),95.6 (0.2),98.0 (0.1),98.9 (0.1),99.4 (0.0),99.5 (0.0)
retrain,NN,EI,81.0 (0.1),96.4 (0.2),97.7 (0.2),98.1 (0.2),98.4 (0.2),98.5 (0.2)
retrain,NN,PI,80.9 (0.1),96.4 (0.2),97.5 (0.3),98.0 (0.2),98.4 (0.2),98.7 (0.1)
retrain,MPN,Greedy,80.8 (0.1),98.1 (0.0),99.3 (0.1),99.6 (0.1),99.7 (0.0),99.8 (0.0)
retrain,MPN,UCB,80.8 (0.1),98.2 (0.2),99.3 (0.0),99.6 (0.0),99.8 (0.0),99.8 (0.0)
retrain,MPN,TS,80.8 (0.2),95.5 (1.0),98.6 (0.2),99.3 (0.0),99.5 (0.0),99.7 (0.0)
retrain,MPN,EI,80.9 (0.3),97.8 (0.3),99.1 (0.1),99.5 (0.0),99.7 (0.0),99.7 (0.0)
retrain,MPN,PI,80.9 (0.2),97.9 (0.2),99.2 (0.1),99.5 (0.0),99.7 (0.0),99.8 (0.0)
online,RF,Greedy,80.9 (0.2),96.2 (0.6),97.9 (0.4),98.6 (0.0),98.8 (0.1),99.0 (0.1)
online,RF,UCB,80.7 (0.2),93.9 (3.1),95.3 (1.9),96.8 (1.0),97.3 (0.7),97.9 (0.1)
online,RF,TS,80.7 (0.2),92.1 (0.2),94.5 (0.8),96.1 (0.7),97.0 (0.4),97.4 (0.3)
online,RF,EI,80.9 (0.1),94.1 (0.8),94.5 (0.5),95.7 (0.5),96.2 (0.6),96.5 (0.7)
online,RF,PI,80.8 (0.1),94.1 (1.0),94.6 (1.0),95.7 (0.9),96.5 (0.6),96.8 (0.6)
online,NN,Greedy,80.8 (0.2),96.6 (0.5),98.4 (0.3),99.1 (0.1),99.4 (0.0),99.5 (0.0)
online,NN,UCB,80.7 (0.2),96.7 (0.3),98.2 (0.6),98.7 (0.6),99.0 (0.3),99.1 (0.4)
online,NN,TS,80.9 (0.1),95.5 (0.1),97.7 (0.8),98.5 (0.4),99.0 (0.3),99.2 (0.1)
online,NN,EI,80.7 (0.1),96.5 (0.1),96.8 (0.4),97.2 (0.9),97.4 (0.8),97.5 (0.8)
online,NN,PI,80.8 (0.1),96.5 (0.2),96.7 (0.3),97.2 (0.7),97.3 (0.6),97.5 (0.5)
online,MPN,Greedy,80.8 (0.1),98.0 (0.2),98.9 (0.1),99.4 (0.1),99.5 (0.0),99.6 (0.0)
online,MPN,UCB,80.7 (0.2),98.1 (0.1),99.0 (0.1),99.4 (0.1),99.6 (0.0),99.7 (0.0)
online,MPN,TS,80.9 (0.3),96.0 (0.3),98.7 (0.1),99.3 (0.0),99.5 (0.0),99.6 (0.0)
online,MPN,EI,81.0 (0.2),98.0 (0.2),99.0 (0.1),99.3 (0.1),99.4 (0.1),99.5 (0.1)
online,MPN,PI,80.8 (0.2),98.0 (0.2),99.0 (0.1),99.3 (0.1),99.4 (0.1),99.4 (0.1)
