Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,78.9 (0.4),93.8 (0.5),97.0 (0.2),98.0 (0.2),98.4 (0.2),98.7 (0.2)
retrain,RF,UCB,78.8 (0.5),92.2 (1.1),95.6 (0.4),96.9 (0.2),97.7 (0.1),98.2 (0.1)
retrain,RF,TS,78.6 (0.5),89.8 (0.4),93.7 (0.3),95.5 (0.2),96.7 (0.2),97.5 (0.2)
retrain,RF,EI,78.8 (0.2),91.0 (1.1),94.6 (1.0),96.3 (0.7),97.1 (0.4),97.6 (0.2)
retrain,RF,PI,78.8 (0.2),92.3 (0.9),95.9 (0.3),97.0 (0.1),97.6 (0.1),97.9 (0.2)
retrain,NN,Greedy,78.7 (0.2),94.6 (0.3),97.8 (0.1),98.7 (0.1),99.1 (0.1),99.4 (0.0)
retrain,NN,UCB,78.9 (0.2),94.2 (0.2),97.6 (0.2),98.6 (0.0),99.1 (0.1),99.4 (0.0)
retrain,NN,TS,79.2 (0.3),93.8 (0.3),97.4 (0.2),98.6 (0.1),99.1 (0.0),99.3 (0.1)
retrain,NN,EI,78.6 (0.3),94.2 (0.3),97.3 (0.2),98.1 (0.4),98.8 (0.1),99.1 (0.1)
retrain,NN,PI,78.5 (0.2),94.3 (0.5),97.4 (0.3),98.2 (0.5),98.8 (0.3),99.1 (0.2)
retrain,MPN,Greedy,78.9 (0.2),94.5 (0.3),97.6 (0.1),98.6 (0.1),99.1 (0.0),99.3 (0.0)
retrain,MPN,UCB,78.5 (0.4),94.5 (0.1),97.5 (0.1),98.6 (0.1),99.1 (0.0),99.3 (0.0)
retrain,MPN,TS,78.8 (0.3),92.6 (0.6),96.4 (0.4),98.1 (0.1),98.8 (0.1),99.2 (0.0)
retrain,MPN,EI,78.8 (0.3),94.2 (0.2),97.4 (0.1),98.5 (0.1),98.9 (0.1),99.1 (0.0)
retrain,MPN,PI,78.9 (0.3),94.4 (0.3),97.5 (0.2),98.5 (0.1),99.0 (0.1),99.2 (0.1)
online,RF,Greedy,78.6 (0.5),93.7 (0.4),96.7 (0.2),97.9 (0.1),98.4 (0.1),98.7 (0.0)
online,RF,UCB,78.9 (0.2),92.5 (0.2),94.8 (0.7),96.3 (0.4),97.2 (0.3),97.7 (0.1)
online,RF,TS,78.8 (0.4),89.4 (0.8),92.7 (0.4),94.5 (0.3),95.6 (0.1),96.3 (0.1)
online,RF,EI,78.8 (0.2),91.7 (0.9),94.5 (0.4),96.0 (0.4),96.7 (0.6),97.3 (0.2)
online,RF,PI,79.1 (0.3),92.4 (0.7),95.6 (0.3),96.7 (0.3),97.5 (0.2),98.0 (0.1)
online,NN,Greedy,79.0 (0.2),94.8 (0.3),97.2 (0.2),98.4 (0.1),98.8 (0.1),99.1 (0.1)
online,NN,UCB,78.5 (0.4),94.3 (0.7),96.0 (0.7),97.3 (0.9),97.9 (0.7),98.3 (0.5)
online,NN,TS,78.6 (0.4),93.9 (0.4),96.4 (0.4),97.5 (0.4),98.2 (0.3),98.6 (0.2)
online,NN,EI,79.0 (0.5),94.1 (0.5),95.0 (0.9),96.5 (1.2),96.9 (1.0),97.1 (1.1)
online,NN,PI,79.1 (0.5),94.2 (0.4),95.0 (1.1),96.3 (1.3),97.1 (0.9),97.3 (0.7)
online,MPN,Greedy,78.5 (0.3),94.2 (0.3),96.0 (0.7),97.7 (0.3),98.2 (0.4),98.7 (0.3)
online,MPN,UCB,78.9 (0.2),94.5 (0.1),96.9 (0.2),98.0 (0.1),98.6 (0.2),99.0 (0.2)
online,MPN,TS,78.8 (0.3),92.6 (0.6),96.0 (0.1),97.6 (0.2),98.5 (0.1),98.9 (0.1)
online,MPN,EI,78.8 (0.4),94.1 (0.4),96.7 (0.2),98.0 (0.0),98.6 (0.1),99.0 (0.1)
online,MPN,PI,78.8 (0.3),94.2 (0.2),95.9 (0.9),97.6 (0.4),98.1 (0.6),98.6 (0.4)
