Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.2 (0.1),20.9 (4.9),40.4 (3.7),54.3 (3.4),65.6 (2.4),72.3 (1.9)
retrain,RF,UCB,0.2 (0.1),18.8 (3.5),34.8 (1.5),43.1 (1.2),47.0 (2.7),51.0 (2.9)
retrain,RF,TS,0.3 (0.1),9.4 (1.3),26.0 (2.3),41.6 (0.7),50.6 (1.2),57.5 (1.4)
retrain,RF,EI,0.2 (0.1),15.4 (3.5),23.8 (5.2),28.5 (3.4),30.6 (3.8),32.6 (3.1)
retrain,RF,PI,0.2 (0.1),15.7 (2.0),22.0 (4.1),26.8 (5.1),27.6 (5.0),29.3 (5.2)
retrain,NN,Greedy,0.3 (0.2),31.0 (2.8),58.4 (2.3),72.2 (2.0),82.6 (0.6),88.8 (0.8)
retrain,NN,UCB,0.2 (0.1),31.2 (2.4),58.6 (2.1),72.9 (1.9),81.9 (2.0),86.7 (0.5)
retrain,NN,TS,0.2 (0.1),21.6 (1.8),47.1 (1.6),65.3 (2.0),78.4 (1.3),85.0 (0.9)
retrain,NN,EI,0.3 (0.2),27.6 (2.0),42.2 (3.2),48.1 (3.6),54.1 (4.3),56.6 (4.3)
retrain,NN,PI,0.3 (0.2),27.9 (2.2),40.3 (3.4),47.5 (2.5),53.6 (2.9),59.1 (3.1)
retrain,MPN,Greedy,0.2 (0.0),49.3 (0.6),73.9 (1.6),86.3 (1.9),91.2 (1.1),93.7 (0.9)
retrain,MPN,UCB,0.2 (0.1),49.2 (3.2),75.0 (1.3),87.7 (0.6),92.2 (0.5),94.3 (0.4)
retrain,MPN,TS,0.2 (0.1),23.3 (5.5),56.8 (3.0),75.1 (1.1),85.6 (0.8),90.8 (0.4)
retrain,MPN,EI,0.2 (0.1),43.4 (4.5),68.4 (1.4),82.1 (1.0),88.1 (1.1),91.7 (0.7)
retrain,MPN,PI,0.2 (0.1),44.9 (2.6),70.7 (2.5),82.9 (1.5),88.3 (1.0),92.1 (0.7)
online,RF,Greedy,0.2 (0.1),26.8 (4.8),45.0 (5.4),56.2 (0.4),62.8 (2.2),66.9 (2.4)
online,RF,UCB,0.3 (0.1),18.7 (8.6),24.0 (9.7),33.4 (9.2),37.4 (8.0),45.8 (1.6)
online,RF,TS,0.2 (0.1),8.1 (0.8),17.4 (4.0),27.0 (5.5),34.8 (4.8),38.5 (4.3)
online,RF,EI,0.2 (0.1),15.9 (4.2),17.6 (3.6),24.1 (3.8),28.0 (5.4),30.0 (7.1)
online,RF,PI,0.1 (0.1),15.3 (5.1),18.0 (4.8),23.9 (5.7),29.4 (5.0),32.3 (5.5)
online,NN,Greedy,0.2 (0.1),29.7 (5.7),54.2 (4.3),69.5 (2.3),78.2 (0.9),82.2 (0.8)
online,NN,UCB,0.2 (0.1),30.4 (3.5),50.3 (8.7),60.0 (9.6),67.7 (6.7),70.7 (8.6)
online,NN,TS,0.3 (0.2),20.6 (0.6),43.3 (9.9),56.5 (7.9),66.5 (6.3),72.5 (4.2)
online,NN,EI,0.2 (0.0),28.6 (1.1),31.8 (5.0),38.0 (12.1),39.8 (10.9),40.9 (11.7)
online,NN,PI,0.2 (0.1),28.4 (1.3),30.7 (3.4),36.5 (8.8),37.7 (7.9),39.3 (7.1)
online,MPN,Greedy,0.1 (0.1),46.3 (3.2),65.7 (1.4),79.0 (1.5),85.0 (0.7),88.7 (1.3)
online,MPN,UCB,0.2 (0.1),48.4 (1.9),67.0 (2.3),80.7 (2.2),85.7 (1.5),89.5 (0.3)
online,MPN,TS,0.3 (0.2),25.1 (1.8),59.2 (2.1),77.3 (1.1),84.8 (0.9),89.3 (0.3)
online,MPN,EI,0.2 (0.1),45.8 (2.8),65.2 (2.4),74.6 (3.1),77.8 (3.1),80.5 (3.1)
online,MPN,PI,0.2 (0.1),46.2 (4.0),65.6 (2.0),72.7 (2.4),76.2 (2.8),77.8 (2.8)
