Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.1 (0.1),13.6 (2.4),29.4 (1.4),37.3 (2.2),43.8 (1.4),53.4 (4.6)
retrain,RF,UCB,0.1 (0.1),6.7 (3.3),20.1 (2.9),26.4 (3.6),32.8 (3.8),34.9 (4.2)
retrain,RF,TS,0.1 (0.1),3.7 (0.9),14.7 (2.1),24.4 (1.9),31.4 (1.8),37.1 (2.6)
retrain,RF,EI,0.1 (0.1),4.4 (2.5),13.5 (3.4),17.5 (3.1),20.0 (3.6),21.9 (2.6)
retrain,RF,PI,0.1 (0.1),10.3 (4.4),18.0 (2.2),22.0 (3.4),24.5 (2.1),27.1 (2.7)
retrain,NN,Greedy,0.2 (0.1),16.9 (3.1),36.9 (2.6),50.4 (2.1),59.9 (1.6),66.9 (1.6)
retrain,NN,UCB,0.1 (0.1),19.7 (2.2),34.7 (3.4),48.6 (1.8),58.8 (1.8),64.8 (1.2)
retrain,NN,TS,0.1 (0.1),13.8 (1.9),32.6 (2.6),46.0 (1.1),57.3 (1.0),64.8 (0.8)
retrain,NN,EI,0.1 (0.2),17.1 (1.5),28.0 (4.8),32.9 (5.3),37.7 (4.1),41.5 (3.5)
retrain,NN,PI,0.1 (0.1),17.1 (1.0),30.0 (2.9),35.5 (1.7),39.2 (1.9),44.2 (2.2)
retrain,MPN,Greedy,0.1 (0.1),28.5 (1.5),49.4 (1.8),62.1 (1.3),70.9 (0.9),78.1 (0.8)
retrain,MPN,UCB,0.2 (0.2),26.7 (3.2),49.3 (2.3),64.2 (1.3),73.7 (1.0),79.9 (0.7)
retrain,MPN,TS,0.1 (0.0),12.2 (2.1),34.0 (3.6),50.7 (3.1),62.5 (3.2),71.2 (1.8)
retrain,MPN,EI,0.1 (0.1),27.2 (3.0),43.8 (2.6),59.2 (1.4),67.6 (1.4),73.9 (1.2)
retrain,MPN,PI,0.1 (0.1),27.6 (4.1),45.6 (1.6),58.2 (1.6),66.9 (1.4),73.0 (0.7)
online,RF,Greedy,0.0 (0.0),12.5 (3.4),23.4 (3.5),30.1 (3.9),34.1 (3.6),39.5 (6.2)
online,RF,UCB,0.1 (0.0),9.6 (4.8),15.1 (5.1),17.8 (5.8),21.9 (5.9),25.4 (6.6)
online,RF,TS,0.1 (0.1),3.7 (0.8),9.3 (2.5),14.8 (3.2),19.6 (1.8),23.1 (1.5)
online,RF,EI,0.1 (0.1),7.4 (3.3),9.3 (4.3),13.9 (6.4),17.4 (5.5),19.6 (5.2)
online,RF,PI,0.1 (0.1),9.6 (2.5),13.1 (2.8),18.3 (3.4),22.3 (6.5),26.4 (5.6)
online,NN,Greedy,0.1 (0.1),16.8 (2.8),33.9 (3.0),47.2 (2.2),57.0 (1.6),63.2 (2.0)
online,NN,UCB,0.0 (0.0),16.9 (2.8),28.4 (8.5),34.5 (10.1),39.1 (10.8),43.9 (8.6)
online,NN,TS,0.2 (0.1),12.8 (1.3),26.4 (6.6),33.9 (8.3),40.5 (7.0),44.3 (8.8)
online,NN,EI,0.1 (0.0),16.5 (2.3),18.7 (5.5),21.5 (9.5),22.9 (8.9),26.2 (9.4)
online,NN,PI,0.2 (0.1),15.3 (0.9),23.0 (3.6),33.9 (3.3),35.9 (1.8),37.3 (3.3)
online,MPN,Greedy,0.1 (0.1),25.7 (2.3),39.3 (2.4),55.9 (2.6),62.3 (4.4),68.4 (3.5)
online,MPN,UCB,0.1 (0.1),28.3 (1.7),46.0 (2.6),59.7 (1.4),65.9 (1.9),72.4 (1.8)
online,MPN,TS,0.0 (0.0),12.3 (1.6),36.5 (2.0),53.7 (2.6),63.7 (2.1),70.0 (1.2)
online,MPN,EI,0.1 (0.0),25.8 (2.7),42.6 (1.4),51.5 (2.1),57.6 (1.4),61.3 (1.5)
online,MPN,PI,0.1 (0.1),28.3 (2.1),44.1 (2.1),53.2 (1.1),58.5 (1.8),61.9 (1.8)
