Training,Model,Metric,Scores ($\pm$ s.d.),SMILES ($\pm$ s.d.),Average ($\pm$ s.d.)
retrain,RF,Greedy,51.6 (5.9),44.8 (5.8),98.21 (0.31)
retrain,RF,UCB,43.2 (3.4),37.2 (3.1),97.58 (0.25)
retrain,RF,TS,27.6 (1.9),22.6 (2.7),95.97 (0.34)
retrain,RF,EI,39.4 (9.5),33.8 (9.1),97.16 (0.76)
retrain,RF,PI,47.6 (4.2),41.4 (3.3),97.82 (0.24)
retrain,NN,Greedy,66.8 (5.4),59.2 (6.1),98.97 (0.20)
retrain,NN,UCB,58.0 (3.5),51.2 (3.4),98.59 (0.16)
retrain,NN,TS,61.4 (3.9),54.6 (3.4),98.73 (0.19)
retrain,NN,EI,56.0 (7.5),49.8 (6.9),98.42 (0.42)
retrain,NN,PI,57.8 (2.4),51.6 (2.3),98.55 (0.15)
retrain,MPN,Greedy,67.0 (3.0),59.6 (2.3),98.94 (0.12)
retrain,MPN,UCB,64.4 (4.1),57.0 (3.2),98.80 (0.17)
retrain,MPN,TS,60.0 (4.1),52.2 (4.6),98.58 (0.20)
retrain,MPN,EI,64.4 (3.8),57.0 (3.6),98.80 (0.19)
retrain,MPN,PI,63.0 (3.2),55.2 (3.3),98.76 (0.16)
online,RF,Greedy,46.2 (2.1),40.8 (3.7),97.86 (0.19)
online,RF,UCB,30.2 (5.8),26.8 (5.3),96.46 (0.51)
online,RF,TS,17.4 (3.2),15.2 (3.2),94.58 (0.31)
online,RF,EI,32.2 (7.2),27.0 (5.8),96.53 (0.49)
online,RF,PI,36.8 (6.3),31.4 (5.4),97.06 (0.58)
online,NN,Greedy,55.4 (6.2),49.8 (6.4),98.49 (0.30)
online,NN,UCB,43.4 (11.6),38.4 (10.1),97.59 (0.82)
online,NN,TS,51.2 (3.9),45.8 (3.5),98.16 (0.15)
online,NN,EI,28.0 (6.7),24.6 (6.2),96.09 (1.12)
online,NN,PI,37.6 (6.7),33.0 (5.4),96.93 (0.92)
online,MPN,Greedy,44.6 (6.9),37.2 (6.0),97.68 (0.50)
online,MPN,UCB,45.8 (7.1),38.8 (6.3),97.83 (0.47)
online,MPN,TS,41.4 (4.7),37.0 (5.2),97.44 (0.33)
online,MPN,EI,45.4 (5.0),38.8 (3.4),97.78 (0.27)
online,MPN,PI,39.4 (3.3),33.2 (2.9),97.40 (0.29)
