Training,Model,Metric,Scores ($\pm$ s.d.),SMILES ($\pm$ s.d.),Average ($\pm$ s.d.)
retrain,RF,Greedy,55.8 (4.9),53.4 (4.6),98.54 (0.24)
retrain,RF,UCB,36.2 (4.2),34.9 (4.2),97.16 (0.42)
retrain,RF,TS,38.8 (2.5),37.1 (2.6),97.43 (0.18)
retrain,RF,EI,22.6 (2.7),21.9 (2.6),95.62 (0.37)
retrain,RF,PI,27.9 (2.7),27.1 (2.7),96.27 (0.37)
retrain,NN,Greedy,70.5 (1.8),66.9 (1.6),99.08 (0.09)
retrain,NN,UCB,68.0 (0.9),64.8 (1.2),99.04 (0.05)
retrain,NN,TS,68.0 (0.8),64.8 (0.8),99.05 (0.03)
retrain,NN,EI,43.3 (3.8),41.5 (3.5),97.74 (0.29)
retrain,NN,PI,46.3 (2.3),44.2 (2.2),97.94 (0.17)
retrain,MPN,Greedy,82.2 (0.9),78.1 (0.8),99.47 (0.03)
retrain,MPN,UCB,84.0 (0.8),79.9 (0.7),99.54 (0.03)
retrain,MPN,TS,74.8 (1.9),71.2 (1.8),99.27 (0.04)
retrain,MPN,EI,77.0 (1.2),73.9 (1.2),99.42 (0.03)
retrain,MPN,PI,76.1 (0.9),73.0 (0.7),99.41 (0.02)
online,RF,Greedy,41.0 (6.5),39.5 (6.2),97.60 (0.49)
online,RF,UCB,26.2 (6.8),25.4 (6.6),95.84 (0.91)
online,RF,TS,24.1 (1.6),23.1 (1.5),95.63 (0.33)
online,RF,EI,20.2 (5.5),19.6 (5.2),94.90 (1.29)
online,RF,PI,27.1 (5.7),26.4 (5.6),96.05 (0.85)
online,NN,Greedy,65.8 (2.2),63.2 (2.0),98.96 (0.09)
online,NN,UCB,45.8 (8.9),43.9 (8.6),97.90 (0.62)
online,NN,TS,46.1 (9.1),44.3 (8.8),97.90 (0.62)
online,NN,EI,27.4 (9.6),26.2 (9.4),96.22 (0.98)
online,NN,PI,38.8 (3.6),37.3 (3.3),97.39 (0.30)
online,MPN,Greedy,71.9 (3.3),68.4 (3.5),99.17 (0.11)
online,MPN,UCB,75.8 (2.1),72.4 (1.8),99.33 (0.05)
online,MPN,TS,73.3 (1.0),70.0 (1.2),99.24 (0.03)
online,MPN,EI,63.8 (1.4),61.3 (1.5),98.95 (0.06)
online,MPN,PI,64.3 (1.8),61.9 (1.8),98.97 (0.09)
