Training,Model,Metric,Scores ($\pm$ s.d.),SMILES ($\pm$ s.d.),Average ($\pm$ s.d.)
retrain,RF,Greedy,84.3 (1.1),79.8 (0.9),99.53 (0.02)
retrain,RF,UCB,68.2 (2.7),65.2 (2.6),99.03 (0.10)
retrain,RF,TS,74.1 (1.0),70.3 (1.2),99.26 (0.04)
retrain,RF,EI,44.8 (4.0),43.2 (3.9),97.91 (0.26)
retrain,RF,PI,43.5 (2.6),42.2 (2.7),97.80 (0.18)
retrain,NN,Greedy,95.7 (0.0),93.2 (0.1),99.89 (0.00)
retrain,NN,UCB,94.4 (0.5),91.5 (0.8),99.84 (0.02)
retrain,NN,TS,94.5 (0.2),91.6 (0.3),99.85 (0.01)
retrain,NN,EI,76.7 (2.3),72.9 (2.2),99.33 (0.05)
retrain,NN,PI,71.9 (1.9),68.5 (1.8),99.17 (0.07)
retrain,MPN,Greedy,97.7 (0.2),94.8 (0.1),99.94 (0.01)
retrain,MPN,UCB,98.1 (0.4),94.9 (0.2),99.94 (0.01)
retrain,MPN,TS,96.7 (0.3),94.5 (0.1),99.92 (0.01)
retrain,MPN,EI,95.8 (0.6),93.7 (0.7),99.89 (0.02)
retrain,MPN,PI,96.2 (0.6),93.9 (0.7),99.90 (0.02)
online,RF,Greedy,80.6 (2.3),76.5 (2.1),99.45 (0.05)
online,RF,UCB,56.4 (2.6),54.0 (2.4),98.59 (0.14)
online,RF,TS,60.0 (2.0),57.1 (1.8),98.69 (0.07)
online,RF,EI,45.0 (1.8),43.5 (1.9),97.93 (0.10)
online,RF,PI,43.2 (5.6),41.8 (5.3),97.80 (0.41)
online,NN,Greedy,93.0 (0.8),89.8 (1.0),99.79 (0.03)
online,NN,UCB,90.1 (1.1),86.1 (1.6),99.69 (0.03)
online,NN,TS,77.5 (11.3),73.4 (10.5),99.28 (0.40)
online,NN,EI,64.9 (5.6),61.5 (5.5),98.87 (0.24)
online,NN,PI,60.3 (14.5),57.0 (13.8),98.58 (0.55)
online,MPN,Greedy,95.2 (0.4),93.2 (0.5),99.87 (0.02)
online,MPN,UCB,96.7 (0.4),94.5 (0.4),99.91 (0.01)
online,MPN,TS,95.8 (0.3),93.7 (0.5),99.88 (0.02)
online,MPN,EI,90.2 (1.7),85.7 (1.7),99.71 (0.05)
online,MPN,PI,90.5 (1.1),86.6 (1.3),99.70 (0.04)
